hotel_id,hotel_name,hotel_rating,hotel_experience,amenities,address,city,country,location,hotel_price
122,Treebo Trend Grande Azure,,,"['Air conditioning', 'Free WiFi', 'Parking included', 'Laundry', 'Restaurant', 'Room service']","B-38,RICCO INDUSTRIAL AREA, BEHIND BMIT, SITAPURA, Jaipur, RJ, 302022",Jaipur,India,"26.772283, 75.856151",24
123,Kukas Guest House,4.0,Very Good,"['Free WiFi', 'Parking included', 'Laundry', 'Pet friendly', 'Restaurant', 'Breakfast available']","Plot Number 3, Near Jaipur Golden Petrol Pump, Jamwa Ramgarh, Rajasthan, 302028",Jaipur,India,"27.049952, 75.907134",11
125,Suryaa Villa - A City Centre Hotel,3.9,Good,"['Air conditioning', 'Spa', 'Free WiFi', 'Parking included', 'Laundry', 'Pool']","C-2, Peelwa Garden, Moti Doongri Road, Jaipur, Rajasthan, 302004",Jaipur,India,"26.900956, 75.820207",53
126,BrijNest Suites,,,"['Air conditioning', 'Spa', 'Free WiFi', 'Parking included', 'Laundry', 'Pet friendly']","Jawahar Lal Nehru Marg, Within the Premises of Clarks Amer, Jaipur, Rajasthan, 302018",Jaipur,India,"26.846376, 75.800481",62
127,Hotel Green Valley,,,"['Air conditioning', 'Free WiFi', 'Parking included', 'Restaurant', 'Breakfast available', 'Housekeeping']","Opposite Jaipur Golden Petrol Pump, Kunda, Amer Road, Jaipur Delhi Highway,, Amer, Rajasthan, 302028",Jaipur,India,"27.009012, 75.879624",16
128,Hotel Silver Pride,4.4,Excellent,"['Free airport shuttle', 'Air conditioning', 'Free WiFi', 'Parking included', 'Laundry', 'Restaurant']","302 Maharani Farm, Mahaveer Nagar 2nd, Near Airport, Durgapura, Tonk Road, Jaipur, Rajasthan, 302018",Jaipur,India,"26.852625, 75.779392",36
129,Laxmi Palace Heritage Boutique Hotel,3.8,Good,"['Air conditioning', 'Free WiFi', 'Parking included', 'Laundry', 'Pool', 'Restaurant']","D-194/B, Jagdish Marg, near Sindhi Camp Bus Stn, Bani Park, Jaipur, Rajasthan, 302016",Jaipur,India,"26.925227, 75.80112",29
130,Raya Inn,,,"['Breakfast included', 'Free WiFi', 'Parking included', 'Laundry', 'Restaurant', 'Housekeeping']","No. 32, Power House Road, Opp. Jaipur Junction, Jaipur, Rajasthan, 302006",Jaipur,India,"26.921333, 75.787917",40
131,Hotel Sun City Plaza,5.0,Exceptional,"['Air conditioning', 'Free WiFi', 'Parking included', 'Laundry', 'Restaurant', 'Breakfast available']","H-935, Tonk Rd., Phase 3, Sitapura Industrial Area, Sitapura, Jaipur, Rajasthan, 302022",Jaipur,India,"26.785235, 75.84637",29
132,Chitrakatha,3.9,Good,"['Free WiFi', 'Parking included', 'Laundry', 'Restaurant', 'Breakfast available', 'Room service']","60 Hathroi Fort, Ajmer Road, Jaipur, Jaipur, Rajasthan",Jaipur,India,"26.916609, 75.795972",13
133,OYO 352 Hotel DRS 8586 Haveli,,,"['Air conditioning', 'Breakfast included', 'Free WiFi', 'Parking included', 'Laundry', 'Restaurant']","Plot No S-14, Opposite World Trade Park, Adinath Nagar, Jaipur, Rajasthan, 302018",Jaipur,India,"26.852269, 75.802155",112
134,Hotel Shyam Paradise By Tricolour,,,"['Air conditioning', 'Free WiFi', 'Parking included', 'Laundry', 'Pool', 'Restaurant']","Plot No 11, Bhargu Nagar, Near Elements Mall, DCM, Jaipur, Jaipur, 302022",Jaipur,India,"26.895545, 75.749946",47
136,Khandela Haveli A Heritage Boutique Hotel,3.9,Good,"['Air conditioning', 'Free WiFi', 'Parking included', 'Laundry', 'Pool', 'Restaurant']","D-219 A Bhaskar Marg, Banipark, Jaipur, Rajasthan, 302016",Jaipur,India,"26.932074, 75.788761",40
137,The Zest,,,"['Air conditioning', 'Free WiFi', 'Parking included', 'Laundry', 'Restaurant', 'Room service']","97 A Bhawani Singh Ln, Jaipur, RJ, 302001",Jaipur,India,"26.900863, 75.794906",14
139,Hotel Mohit Palace,,,"['Air conditioning', 'Breakfast included', 'Free WiFi', 'Parking included', 'Laundry', 'Restaurant']","Lal Kothi Shopping Centre, Near Sahara India Tonk Rd, Jaipur, Jaipur, 302015",Jaipur,India,"26.88201, 75.79881",114
141,Treebo Trend Natraj Jaipur,,,"['Air conditioning', 'Breakfast included', 'Free WiFi', 'Parking included', 'Laundry', 'Restaurant']","Motilal Atal Road, Polo Victory, City Centre, Jaipur, 302001",Jaipur,India,"26.92044, 75.79869",24
142,Sanskar Hotel,,,"['Air conditioning', 'Free WiFi', 'Parking included', 'Laundry', 'Restaurant', 'Breakfast available']","310 Nemi Nagar Vistar, 200 Feet Bypass Rd, Vaishali Nagar West, Jaipur, Rajasthan, 302034",Jaipur,India,"26.91586, 75.72943",33
