hotel_id,hotel_name,hotel_rating,hotel_experience,amenities,address,city,country,location,hotel_price
109,"The Blue House, Oldest Guest House",3.6,Good,"['Free WiFi', 'Air conditioning', 'Spa', 'Laundry', 'Parking included', 'Restaurant']","Moti chowk Dabgaron Street, Nai Sarak, Jodhpur, Rajasthan, 342002",Jaisalmer,India,"26.293425, 73.020871",
110,OYO 2291 Home Stay Mertiya Residency,,,"['Breakfast included', 'Free WiFi', 'Air conditioning', 'Laundry', 'Room service', 'Housekeeping']","117, Hanuwant 'A', Near Bank of Baroda, Poata C Road, Jodhpur, Rajasthan, 342010",Jaisalmer,India,"26.305087, 73.05463",
111,Yogi Guest House,3.7,Good,"['Free WiFi', 'Air conditioning', 'Laundry', 'Parking included', 'Restaurant', 'Room service']","Naya Bas, Manak Chowk, Jodhpur, Rajasthan, 342001",Jaisalmer,India,"26.296488, 73.020758",
114,Bishnoi Village Camp and Resort,3.7,Good,"['All inclusive', 'Free WiFi', 'Air conditioning', 'Laundry', 'Parking included', 'Pet friendly']","Village- Guda Bishnoiyan, District, Jodhpur, Rajasthan, 342802",Jaisalmer,India,"26.135984, 73.105393",
115,Cosy Guest House,,,"['Free WiFi', 'Air conditioning', 'Laundry', 'Restaurant', 'Bar', 'Room service']","Navchokiya Road, Bhram puri,Chuna Ki Choki, Jodhpur, Rajasthan, 302002",Jaisalmer,India,"26.297279, 73.013554",
116,Hotel Residency Palace,3.7,Good,"['Free WiFi', 'Air conditioning', 'Laundry', 'Parking included', 'Restaurant', 'Breakfast available']","High Court Colony, Ratanada, Near Senapati Bhawan, Jodhpur, Rajasthan, 342011",Jaisalmer,India,"26.270846, 73.030276",
117,Hotel Shri Ram Excellency,3.9,Good,"['Free WiFi', 'Air conditioning', 'Laundry', 'Parking included', 'Restaurant', 'Breakfast available']","58- Residency Road, Opposite Medical College, Jodhpur, Rajasthan, 342001",Jaisalmer,India,"26.273948, 73.022063",
118,HOTEL PIONEER PLAZA,,,"['Free WiFi', 'Laundry', 'Parking included', 'Restaurant', 'Breakfast available', 'Business services']","15-16 B Hanuwant Vihar, near Rai Ka Bagh, Jodhpur, Rajasthan, 34011",Jaisalmer,India,"26.288011, 73.036214",
119,Mango Hotels Jodhpur,,,"['Free WiFi', 'Air conditioning', 'Laundry', 'Parking included', 'Restaurant', 'Breakfast available']","0291, Opposite veterinary hospital, Ratanada, Jodhpur, Rajasthan, 342001",Jaisalmer,India,"26.277971, 73.033025",
120,Suraj Haveli Jodhpur,,,"['Laundry', 'Breakfast available', 'Parking available', 'Bar', 'Room service', '24/7 front desk']","Near Suttar Khana Ki Gali,Naya, Bass,Manak Chowk, Jodhpur, Rajasthan, 342001",Jaisalmer,India,"26.295488, 73.021359",
121,Chandra Grand,,,"['Free WiFi', 'Air conditioning', 'Laundry', 'Parking included', 'Pool', 'Restaurant']","E-6A Mandore Industrial Area, Nagaur Road, Near Stone Park, Jodhpur, Rajasthan, 342007",Jaisalmer,India,"26.39128, 73.07187",
