hotel_id,hotel_name,hotel_rating,hotel_experience,amenities,address,city,country,location,hotel_price
76,Hotel Hadi Rani Palace,4.6,Exceptional,"['Air conditioning', 'Free WiFi', 'Laundry', 'Restaurant', 'Bar', 'Housekeeping']","Hotel Hadi Rani Palace Near Pichola lake, Near Pichola lake, Udaipur, 313003",Udaipur,India,"24.57605, 73.69763",25.0
77,Ambay Villa,4.5,Wonderful,"['Air conditioning', 'Free WiFi', 'Laundry', 'Room service', 'Housekeeping', '24/7 front desk']","48 Shubhash Nagar Gali No 2, Udaipur, Rajasthan, 313001",Udaipur,India,"24.551634, 73.683809",34.0
78,Treebo Tryst SR House,4.6,Exceptional,"['Spa', 'Air conditioning', 'Free WiFi', 'Parking included', 'Laundry', 'Pool']","Plot No, 1, Shobhagpura Circle,, Shobhagpura, Udaipur, Rajasthan, 313001",Udaipur,India,"24.607089, 73.709546",46.0
79,Keekoo Udaipur,4.6,Exceptional,"['Air conditioning', 'Free WiFi', 'Laundry', 'Restaurant', 'Breakfast available', 'Room service']","42JADA GANESH JI KA CHOWK, OUT SIDE CHAND POL ROAD, Udaipur, RAJASTHAN, 313001",Udaipur,India,"24.58234, 73.679484",47.0
80,Uddhav Vilas,3.8,Good,"['Air conditioning', 'Free WiFi', 'Parking included', 'Laundry', 'Restaurant', 'Breakfast available']","Inside Udaipole, Kamlawadi, Udaipur, Rajasthan, 313001",Udaipur,India,"24.576163, 73.696931",34.0
81,Hotel Udai Palace,3.8,Good,"['Air conditioning', 'Free WiFi', 'Parking included', 'Laundry', 'Breakfast available', 'Business services']","Agrasen Nagar, Opp. Central Bus Stand, Near Udaipole Gate, Udaipur, Rajasthan, 313001",Udaipur,India,"24.575731, 73.699105",27.0
82,Hotel Hanuman Ghat,4.2,Excellent,"['Free WiFi', 'Laundry', 'Pet friendly', 'Restaurant', 'Breakfast available', 'Bar']","Outside Chand Pole, Hanuman Ghat Area, (near walking bridge), Udaipur, Rajasthan, 313001",Udaipur,India,"24.581035, 73.680361",18.0
83,Hotel Royal Pratap Niwas,4.2,Wonderful,"['Air conditioning', 'Free WiFi', 'Parking included', 'Laundry', 'Restaurant', 'Breakfast available']","A-8, Hari Das Ji Ki Magri, Trident Road, Udaipur, Rajasthan, 313001",Udaipur,India,"24.582129, 73.669936",25.0
84,FabHotel White House,3.5,Good,"['Free WiFi', 'Breakfast included', 'Parking included', 'Laundry', 'Pet friendly', 'Restaurant']","Bhatt Ji Bhari, Ambamata, Scheme C Rd, Ambamata, Udaipur, 313001",Udaipur,India,"24.58491, 73.67553",22.0
85,Hotel The Tiger,4.4,Wonderful,"['Free WiFi', 'Laundry', 'Restaurant', 'Breakfast available', 'Housekeeping', '24/7 front desk']","33, Gangaur Ghat, Udaipur, Rajasthan, 313001",Udaipur,India,"24.580096, 73.682221",34.0
86,Oriental Palace Resorts,4.0,Very Good,"['Spa', 'Air conditioning', 'Free WiFi', 'Parking included', 'Laundry', 'Pool']","B.N. Collage Road, Subhash Nagar, Udaipur, Rajasthan, 313001",Udaipur,India,"24.580438, 73.71831",43.0
87,Shourya Residency,4.8,Exceptional,"['Air conditioning', 'Free WiFi', 'Parking included', 'Laundry', 'Restaurant', 'Breakfast available']","Lake Palace Road, Gulab Bagh Rd, Near Vintage Car Museum, Udaipur, Rajasthan, 313001",Udaipur,India,"24.575317, 73.693455",39.0
88,Hotel Vinayakam,4.0,Very Good,"['Free WiFi', 'Parking included', 'Laundry', 'Business services', 'Room service', 'Housekeeping']","Kalaji Goraji D Rd, Udaipur, RJ, 313001",Udaipur,India,"24.57598, 73.6893",40.0
89,Hotel Panna Vilas Palace,4.2,Wonderful,"['Spa', 'Air conditioning', 'Free WiFi', 'Parking included', 'Laundry', 'Restaurant']","758/280, Rani Road, Fateh Sagar Lake, Udaipur, Rajasthan, 313001",Udaipur,India,"24.591724, 73.672661",65.0
90,Jai Villa Homestay,4.2,Wonderful,"['Air conditioning', 'Free WiFi', 'Pool', 'Gym', 'Housekeeping']","3-Ratanjeet Complex, Sector-13, Hiran Magri, Opposite Ashish Vatika, Udaipur, Rajasthan, 313001",Udaipur,India,"24.55056, 73.69479",47.0
91,Hotel Broadway Udaipur,4.3,Wonderful,"['Air conditioning', 'Free WiFi', 'Parking included', 'Laundry', 'Restaurant', 'Breakfast available']","Burman chambers, UIT Bridge, Saheli Marg, Near Fateh Sagar Lake, Udaipur, Rajasthan, 313001",Udaipur,India,"24.59757, 73.68765",106.0
92,The Udai Bagh,4.7,Exceptional,"['Spa', 'Air conditioning', 'Free WiFi', 'Parking included', 'Laundry', 'Pool']","Opp. Hindustan Zinc Smelter, Cross Roads, Udaipur, Rajasthan, 313001",Udaipur,India,"24.621029, 73.805365",83.0
93,The Sierra-A Luxury Stay,3.6,Very Good,"['Air conditioning', 'Free WiFi', 'Parking included', 'Laundry', 'Restaurant', 'Breakfast available']","9, Haridas Ji Ki Magri, Trident Road, Shavri Colony, Udaipur, Rajasthan, 313001",Udaipur,India,"24.581951, 73.667657",67.0
94,Hotel Dayal,3.9,Good,"['Air conditioning', 'Free WiFi', 'Breakfast included', 'Parking included', 'Laundry', 'Pet friendly']","7, Bhupalpura, Opp. Kothari Bhawan, Near Shastri Circle, Udaipur, Rajasthan, 313001",Udaipur,India,"24.588615, 73.699121",26.0
95,Treebo Trend Opulence Inn,4.5,Wonderful,"['Air conditioning', 'Free WiFi', 'Parking included', 'Laundry', 'Restaurant', 'Room service']","3/3 Dholi Magri, Railway Station Road, Udaipole, Udaipur, Rajasthan, 303001",Udaipur,India,"24.571482, 73.69897",38.0
96,Hill resort & spa,4.4,Wonderful,"['Free airport shuttle', 'Spa', 'Air conditioning', 'Free WiFi', 'Parking included', 'Pet friendly']","Debari Airport Road, Udaipur, Rajasthan, 313024",Udaipur,India,"24.619604, 73.787397",42.0
97,Hotal Devraj Niwas on Lake Pichola Udaipur,3.7,Very Good,"['Air conditioning', 'Free WiFi', 'Laundry', 'Pool', 'Restaurant', 'Breakfast available']","32, Lal Ghat, behind Jagdish temple, Udaipur, Rajasthan, 313001",Udaipur,India,"24.579184, 73.682457",25.0
98,Lords Inn Udaipur,3.9,Very Good,"['Air conditioning', 'Free WiFi', 'Parking included', 'Laundry', 'Restaurant', 'Breakfast available']","Plot No. 1, Transport Nagar, Goverdhan ViIlas, Ahmedabad Road, Udaipur, Rajasthan, 313001",Udaipur,India,"24.527121, 73.678944",51.0
99,Araliayas Resorts Private Limited,4.0,Very Good,"['Spa', 'Air conditioning', 'Free WiFi', 'Parking included', 'Laundry', 'Pet friendly']","Udaipur Jhadol Road, Near Nai Gaon, Udaipur, Rajasthan, 313001",Udaipur,India,"24.544299, 73.643927",64.0
100,Treebo Trend Sandal Inn,3.9,Very Good,"['Air conditioning', 'Free WiFi', 'Parking included', 'Laundry', 'Restaurant', 'Room service']","677, 678, Chetak Cir, Udaipur, Rajasthan, 313001",Udaipur,India,"24.588575, 73.689189",31.0
101,Gazebo Inn Resort,4.2,Wonderful,"['Spa', 'Air conditioning', 'Free WiFi', 'Parking included', 'Laundry', 'Pool']","Opp HP Petrol Pump, Jhadol Road Sisarma Udaipur, Udaipur, Rajasthan, 313031",Udaipur,India,"24.562427, 73.655915",41.0
